Metric,Conversation_ID,CoT,ND,ZS
F1_Participants,57,1.0,1.0,1.0
F1_Participants,67,1.0,1.0,1.0
F1_Participants,77,1.0,1.0,1.0
F1_Participants,93,1.0,1.0,1.0
F1_Participants,94,1.0,1.0,1.0
F1_Participants,Average,1.0,1.0,1.0
F1_Participants,Std,0.0,0.0,0.0
F1_Restaurants,1,1.0,1.0,1.0
F1_Restaurants,3,1.0,1.0,1.0
F1_Restaurants,4,1.0,1.0,1.0
F1_Restaurants,5,1.0,1.0,1.0
F1_Restaurants,6,1.0,1.0,1.0
F1_Restaurants,7,0.909,0.909,0.909
F1_Restaurants,8,1.0,1.0,1.0
F1_Restaurants,9,0.747,0.857,0.811
F1_Restaurants,10,0.667,1.0,0.667
F1_Restaurants,11,1.0,1.0,1.0
F1_Restaurants,12,1.0,1.0,1.0
F1_Restaurants,13,1.0,1.0,1.0
F1_Restaurants,14,1.0,1.0,1.0
F1_Restaurants,15,1.0,1.0,1.0
F1_Restaurants,16,1.0,1.0,1.0
F1_Restaurants,17,1.0,1.0,1.0
F1_Restaurants,18,1.0,0.982,1.0
F1_Restaurants,19,1.0,1.0,1.0
F1_Restaurants,20,1.0,1.0,1.0
F1_Restaurants,21,1.0,1.0,1.0
F1_Restaurants,22,1.0,1.0,1.0
F1_Restaurants,23,1.0,1.0,1.0
F1_Restaurants,24,1.0,1.0,1.0
F1_Restaurants,25,1.0,1.0,1.0
F1_Restaurants,26,1.0,1.0,1.0
F1_Restaurants,28,1.0,1.0,1.0
F1_Restaurants,29,1.0,1.0,1.0
F1_Restaurants,31,1.0,1.0,1.0
F1_Restaurants,32,1.0,0.88,0.96
F1_Restaurants,33,0.5,0.7,0.5
F1_Restaurants,34,1.0,1.0,1.0
F1_Restaurants,35,1.0,1.0,1.0
F1_Restaurants,36,1.0,1.0,1.0
F1_Restaurants,37,0.861,0.75,0.889
F1_Restaurants,39,1.0,1.0,1.0
F1_Restaurants,41,1.0,1.0,1.0
F1_Restaurants,42,1.0,1.0,1.0
F1_Restaurants,44,1.0,1.0,1.0
F1_Restaurants,46,1.0,1.0,1.0
F1_Restaurants,48,1.0,1.0,1.0
F1_Restaurants,49,0.8,0.8,0.8
F1_Restaurants,55,1.0,1.0,1.0
F1_Restaurants,57,1.0,1.0,1.0
F1_Restaurants,67,1.0,1.0,1.0
F1_Restaurants,77,1.0,1.0,1.0
F1_Restaurants,93,1.0,1.0,1.0
F1_Restaurants,94,1.0,1.0,1.0
F1_Restaurants,Average,0.968,0.976,0.969
F1_Restaurants,Std,0.098,0.067,0.095
